Yr,Month,Day,Hr,Min,Lon,Lat,Mag,Depth
1990,6,10,20,0,-98.71,15.84,4.1,12
1990,6,11,6,41,-97.62,15.99,3.4,39
1990,6,12,16,29,-98.96,16.85,4.4,20
1990,6,13,18,8,-97.97,16.06,4.4,5
1990,6,13,20,22,-98.04,16.07,4.3,10
1990,6,15,8,41,-97.67,16.22,3.7,10
1990,6,19,14,22,-98.77,16.47,4.3,34
1990,6,19,20,18,-97.59,16.06,4.2,11
1990,6,28,13,9,-98.37,16.06,4.1,6
1990,7,4,23,7,-98.79,16.21,4,18
1990,7,10,6,44,-99.36,16.98,4.9,29
1990,7,15,3,47,-98.26,16.22,4.2,17
1990,7,26,8,30,-96.96,15.92,4.7,9
1990,7,27,2,15,-99.65,16.81,3.9,0
1990,7,30,16,39,-99.56,16.52,4.3,10
1990,7,31,22,58,-95.83,15.93,3.9,5
1990,8,1,13,42,-98.19,15.88,4,10
1990,8,2,1,42,-97.18,15.69,3.9,16
1990,8,5,13,7,-99.51,16.94,3.7,32
1990,8,9,20,11,-98.03,16.08,4.3,14
1990,8,10,0,58,-98.51,16.74,4.2,33
1990,8,11,17,58,-95.87,15.8,4,15
1990,8,15,0,30,-97.3,16.01,4.3,16
1990,8,21,10,50,-97.9,16.05,3.7,10
1990,8,26,11,19,-97.63,16.11,4.3,10
1990,8,26,17,1,-96.32,15.98,4.1,10
1990,8,31,7,11,-98.08,16.25,4,10
1990,9,5,19,44,-97.31,15.78,4,20
1990,9,5,22,41,-97.27,15.82,4.3,14
1990,9,5,22,45,-97.31,15.85,3.9,10
1990,9,9,12,11,-98.02,15.92,4.5,5
1990,9,13,21,57,-98.65,16.14,4.1,15
1990,9,16,7,9,-97.79,15.74,4.1,34
1990,9,20,9,33,-99.77,16.35,4,17
1990,9,20,11,55,-98.13,16.25,4.5,11
1990,10,3,8,11,-99.73,16.34,3.8,10
1990,10,5,6,3,-99.57,16.87,4.3,32
1990,10,11,18,47,-97.92,15.7,4.1,18
1990,10,12,13,27,-98.06,15.84,4.1,14
1990,10,13,0,30,-99.35,16.92,4.7,30
1990,10,15,16,12,-97.98,15.49,4.6,11
1990,10,19,9,26,-97.72,15.53,4.4,20
1990,10,29,23,24,-97.27,16.06,4.3,15
1990,10,30,17,34,-98.13,16.09,3.8,17
1990,11,8,21,26,-96.04,15.87,4.9,4
1990,11,20,11,12,-97.66,15.65,4.6,13
1990,11,21,13,33,-98.77,15.95,4,23
1990,11,21,13,44,-99.21,15.97,4,14
1990,11,22,2,52,-99.05,16.07,4.8,22
1990,11,24,9,23,-98.52,16.25,4,1
1990,11,25,14,29,-98.35,16.33,4,5
1990,11,27,7,48,-97.79,15.42,4.2,20
1990,11,27,12,35,-98.22,16.4,3.7,24
1990,11,27,19,33,-99.66,16.22,4,18
1990,11,30,7,55,-98.48,15.88,4.1,5
1990,11,30,8,7,-98.55,16.04,4.1,5
1990,12,2,4,43,-98.48,16.14,4.2,8
1990,12,7,3,48,-96.82,15.44,3.9,14
